variable,human_name,unit,group,description
waiting_list_poss_donor_hepatitis_c_antibodies,Possible Donor Hepatitis C Antibodies,,Recipient,TODO FOR TOOLTIPS DESCR
waiting_list_dialysis_years,Dialysis Duration,years,Recipient,TODO FOR TOOLTIPS DESCR
waiting_list_latest_dialysis_type,Latest Dialysis Type,,Recipient,TODO FOR TOOLTIPS DESCR
waiting_list_kidney_base_disease_icd10,Base Kidney Disease (ICD-10),,Recipient,TODO FOR TOOLTIPS DESCR
waiting_list_poss_donor_enbloc,Possible Donor En Bloc,,Recipient,TODO FOR TOOLTIPS DESCR
waiting_list_poss_donor_esp,Possible Donor ESP,,Recipient,TODO FOR TOOLTIPS DESCR
waiting_list_poss_donor_extended_allocation,Possible Donor Extended Allocation,,Recipient,TODO FOR TOOLTIPS DESCR
waiting_list_poss_donor_hepatitis_b_surface_antigens,Possible Donor Hepatitis B Surface Antigens,,Recipient,TODO FOR TOOLTIPS DESCR
waiting_list_poss_donor_max_age,Possible Donor Max Age,years,Recipient,TODO FOR TOOLTIPS DESCR
waiting_list_poss_donor_min_age,Possible Donor Min Age,years,Recipient,TODO FOR TOOLTIPS DESCR
waiting_list_poss_donor_substance_abuse,Possible Donor Substance Abuse,,Recipient,TODO FOR TOOLTIPS DESCR
transplantation_dialysis_counts,Dialysis Counts,,Transplantation Process,TODO FOR TOOLTIPS DESCR
donor_crossmatch_result,Crossmatch Result,,Transplantation Process,TODO FOR TOOLTIPS DESCR
donor_crossmatch_t_cell_match,T-Cell Crossmatch,,Transplantation Process,TODO FOR TOOLTIPS DESCR
deltaPRA_unknown_DTT,deltaPRA Unknown DTT,,Transplantation Process,TODO FOR TOOLTIPS DESCR
hla_mismatch_broad_mis_a,HLA Mismatch Broad A,,Transplantation Process,TODO FOR TOOLTIPS DESCR
hla_mismatch_broad_mis_b,HLA Mismatch Broad B,,Transplantation Process,TODO FOR TOOLTIPS DESCR
hla_mismatch_broad_mis_dr,HLA Mismatch Broad DR,,Transplantation Process,TODO FOR TOOLTIPS DESCR
donor_untreated_diagnoses,Untreated Diagnoses,,Donor,TODO FOR TOOLTIPS DESCR
donor_total_diagnoses,Total Diagnoses,,Donor,TODO FOR TOOLTIPS DESCR
transplantation_immunosuppression,Immunosuppression,,Transplantation Process,TODO FOR TOOLTIPS DESCR
recipient_hepatitis_c_antibodies,Recipient Hepatitis C Antibodies,,Recipient,TODO FOR TOOLTIPS DESCR
donor_virus_syphilis,Donor Syphilis,,Donor,TODO FOR TOOLTIPS DESCR
donor_blood_gas_ph,Blood Gas pH,mmHg,Donor,TODO FOR TOOLTIPS DESCR
transplantation_dialysis,Dialysis,,Transplantation Process,TODO FOR TOOLTIPS DESCR
donor_ambulant_treatment,Ambulant Treatment,,Donor,TODO FOR TOOLTIPS DESCR
donor_death_diagnosis_end_days,Death Diagnosis End Days,days,Donor,TODO FOR TOOLTIPS DESCR
organ_removal_ureter_length,Ureter Length,cm,Transplantation Process,TODO FOR TOOLTIPS DESCR
organ_removal_ureters,Ureters,,Transplantation Process,TODO FOR TOOLTIPS DESCR
organ_removal_heparin_over_a_day,Heparin Over a Day,,Transplantation Process,TODO FOR TOOLTIPS DESCR
recipient_cytomegalovirus_igm,Recipient Cytomegalovirus IgM,,Recipient,TODO FOR TOOLTIPS DESCR
donor_chem_creatine_kinase_mb_u_per_l,Creatine Kinase MB,U/L,Donor,TODO FOR TOOLTIPS DESCR
donor_monit_diuresis_last_hour_ml,Diuresis Last Hour,mL,Donor,TODO FOR TOOLTIPS DESCR
max_pra,Max PRA,%,Recipient,TODO FOR TOOLTIPS DESCR
organ_removal_perfusion_volume_ml,Perfusion Volume,mL,Transplantation Process,TODO FOR TOOLTIPS DESCR
organ_removal_stitches_days,Stitches Duration,days,Transplantation Process,TODO FOR TOOLTIPS DESCR
last_pra_not_zero,Last PRA Not Zero,,Recipient,TODO FOR TOOLTIPS DESCR
donor_rhesus,Donor Rhesus,,Donor,TODO FOR TOOLTIPS DESCR
donor_chem_prothrombin_time_sec,Prothrombin Time,s,Donor,TODO FOR TOOLTIPS DESCR
donor_bloodgroup,Donor Blood Group,,Donor,TODO FOR TOOLTIPS DESCR
donor_urine_catheter_days,Urine Catheter Duration,days,Donor,TODO FOR TOOLTIPS DESCR
transplantation_hospitalization_over_a_day,Hospitalization Over a Day,,Transplantation Process,TODO FOR TOOLTIPS DESCR
recipient_bloodtransfusion,Blood Transfusion,,Recipient,TODO FOR TOOLTIPS DESCR
donor_death_multiple_days_ago,Death Multiple Days Ago,,Donor,TODO FOR TOOLTIPS DESCR
donor_virus_hiv_antibodies,Donor HIV Antibodies,,Donor,TODO FOR TOOLTIPS DESCR
donor_monit_diuresis_ml_per_hour,Diuresis,mL/h,Donor,TODO FOR TOOLTIPS DESCR
recipient_total_years_on_waitlist,Total Years on Waitlist,years,Recipient,TODO FOR TOOLTIPS DESCR
donor_chem_amylase_u_per_l,Amylase,U/L,Donor,TODO FOR TOOLTIPS DESCR
donor_chem_quick_percent,Quick,%,Donor,TODO FOR TOOLTIPS DESCR
donor_monit_central_venous_pressure_mm_hg,Central Venous Pressure,mmHg,Donor,TODO FOR TOOLTIPS DESCR
donor_smoking_amount,Smoking Amount,,Donor,TODO FOR TOOLTIPS DESCR
donor_blood_gas_o2_saturation,Oxygen Saturation,%,Donor,TODO FOR TOOLTIPS DESCR
